행정기관,인구수,인구수(남),인구수(여),구 성 비,구성비(남),구성비(여),성 비,세대수,세대당인구,데이터기준일자
구룡포읍,6504,3259,3245,3.03,1.52,1.51,100.43,4276,1.52,2026-03-23
연일읍,27028,13642,13386,12.6,6.36,6.24,101.91,12049,2.24,2026-03-23
오천읍,56534,30492,26042,26.36,14.22,12.14,117.09,28126,2.01,2026-03-23
대송면,2928,1555,1373,1.37,0.72,0.64,113.26,1787,1.64,2026-03-23
동해면,8978,4516,4462,4.19,2.11,2.08,101.21,4764,1.88,2026-03-23
장기면,3627,1797,1830,1.69,0.84,0.85,98.2,2309,1.57,2026-03-23
호미곶면,1605,770,835,0.75,0.36,0.39,92.22,1047,1.53,2026-03-23
상대동,21997,11524,10473,10.26,5.37,4.88,110.04,13168,1.67,2026-03-23
해도동,15260,7849,7411,7.11,3.66,3.46,105.91,9498,1.61,2026-03-23
송도동,10772,5380,5392,5.02,2.51,2.51,99.78,6216,1.73,2026-03-23
청림동,4469,2471,1998,2.08,1.15,0.93,123.67,2782,1.61,2026-03-23
제철동,2283,1257,1026,1.06,0.59,0.48,122.51,1222,1.87,2026-03-23
효곡동,29030,14802,14228,13.53,6.9,6.63,104.03,11197,2.59,2026-03-23
대이동,23469,11936,11533,10.94,5.56,5.38,103.49,10203,2.3,2026-03-23
흥해읍,60348,30425,29923,22.03,11.11,10.92,101.68,27175,2.22,2026-03-23
신광면,2700,1367,1333,0.99,0.5,0.49,102.55,1621,1.67,2026-03-23
청하면,4233,2099,2134,1.55,0.77,0.78,98.36,2571,1.65,2026-03-23
송라면,2279,1118,1161,0.83,0.41,0.42,96.3,1521,1.5,2026-03-23
기계면,4667,2296,2371,1.7,0.84,0.87,96.84,2725,1.71,2026-03-23
죽장면,2016,1033,983,0.74,0.38,0.36,105.09,1368,1.47,2026-03-23
죽장면상옥출장소,621,327,294,0.23,0.12,0.11,111.22,392,1.58,2026-03-23
기북면,1274,639,635,0.47,0.23,0.23,100.63,784,1.63,2026-03-23
중앙동,13088,6465,6623,4.78,2.36,2.42,97.61,7979,1.64,2026-03-23
양학동,16332,7956,8376,5.96,2.9,3.06,94.99,7343,2.22,2026-03-23
죽도동,17850,8919,8931,6.52,3.26,3.26,99.87,11057,1.61,2026-03-23
용흥동,19188,9294,9894,7,3.39,3.61,93.94,9070,2.12,2026-03-23
우창동,30384,14722,15662,11.09,5.37,5.72,94,13786,2.2,2026-03-23
두호동,20392,9955,10437,7.44,3.63,3.81,95.38,8845,2.31,2026-03-23
장량동,70353,35698,34655,25.68,13.03,12.65,103.01,30570,2.3,2026-03-23
환여동,8226,4020,4206,3,1.47,1.54,95.58,3743,2.2,2026-03-23
